record_type,expense_date,period_start,period_end,raw_category,amount,is_fixed_expense,amount_source
monthly_apportioned_fixed_expense,5/18,5/18,6/17,固-基金120000(10000),10000,true,label_parentheses
daily_entry,6/8,5/18,6/17,彩券,50,false,daily_cell
daily_entry,6/12,5/18,6/17,彩券,50,false,daily_cell
daily_entry,5/27,5/18,6/17,教-雜費,300,false,daily_cell
daily_entry,5/31,5/18,6/17,教-雜費,147,false,daily_cell
daily_entry,6/2,5/18,6/17,教-雜費,190,false,daily_cell
daily_entry,5/24,5/18,6/17,教-零用錢,200,false,daily_cell
daily_entry,5/30,5/18,6/17,教-零用錢,200,false,daily_cell
daily_entry,6/14,5/18,6/17,教-零用錢,200,false,daily_cell
daily_entry,6/7,5/18,6/17,羽球/運動,190,false,daily_cell
daily_entry,6/6,5/18,6/17,其他支出,80,false,daily_cell
